Year,Units,Value
2016,GDP per employed person in Thousands of Dollars,18.52
2017,GDP per employed person in Thousands of Dollars,21.58
2018,GDP per employed person in Thousands of Dollars,22.59
2019,GDP per employed person in Thousands of Dollars,21.30
2020,GDP per employed person in Thousands of Dollars,19.82
2016,GDP growth rate per employed person,-18.42
2017,GDP growth rate per employed person,14.16
2018,GDP growth rate per employed person,4.50
2019,GDP growth rate per employed person,-6.08
2020,GDP growth rate per employed person,-7.48